Month,Date,Confirmed
Sept,1,715617
Sept,2,721281
Sept,3,726018
Sept,4,730662
Sept,5,735314
Sept,6,738856
Sept,7,740965
Sept,8,744344
Sept,9,747290
Sept,10,750961
Sept,11,754905
Sept,12,758933
Sept,13,761728
Sept,14,765134
Sept,15,768204
Sept,16,771321
Sept,17,775037
Sept,18,779491
Sept,19,783313
Sept,20,786168
Sept,21,790096
Sept,22,793065
Sept,23,796436
Sept,24,799516
Sept,25,803660
Sept,26,807451
Sept,27,809890
Sept,28,812711
Sept,29,815654
Sept,30,819115
Oct,1,822205
Oct,2,826013
Oct,3,829521
Oct,4,832713
Oct,5,835507
Oct,6,838202
Oct,7,841928
Oct,8,845270
Oct,9,849076
Oct,10,852410
Oct,11,855190
Oct,12,857913
Oct,13,861310
Oct,14,865204
Oct,15,868148
Oct,16,871253
Oct,17,873614
Oct,18,875692
Oct,19,879645
Oct,20,883746
Oct,21,886939
Oct,22,893364
